Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Signup,Chrome 86.0.4240.198,,,2020-11-18 18:26:23,2020-11-18 18:26:41,"17,507s",PASSED
,,,,,,,
Test Cases/OMR-login/signup,Chrome 86.0.4240.198,Signup flow in the current OMR,,2020-11-18 18:26:23,2020-11-18 18:26:41,"17,372s",PASSED
"openBrowser("""")",Chrome 86.0.4240.198,,,2020-11-18 18:26:23,2020-11-18 18:26:27,"3,817s",PASSED
"navigateToUrl(""https://web-portal-app-development.herokuapp.com/login"")",Chrome 86.0.4240.198,,,2020-11-18 18:26:27,2020-11-18 18:26:35,"8,209s",PASSED
"click(findTestObject(""Object Repository/Login page/Page_On My Radar/input_Email_email""))",Chrome 86.0.4240.198,,,2020-11-18 18:26:35,2020-11-18 18:26:37,"1,127s",PASSED
"click(findTestObject(""Object Repository/Login page/Page_On My Radar/span_Signup""))",Chrome 86.0.4240.198,,,2020-11-18 18:26:37,2020-11-18 18:26:37,"0,609s",PASSED
"setText(findTestObject(""Object Repository/Login page/Page_On My Radar/input_Email_email""), email)",Chrome 86.0.4240.198,,,2020-11-18 18:26:37,2020-11-18 18:26:38,"0,902s",PASSED
"setText(findTestObject(""Object Repository/Login page/Page_On My Radar/input_Name_displayName""), ""test"")",Chrome 86.0.4240.198,,,2020-11-18 18:26:38,2020-11-18 18:26:39,"0,527s",PASSED
"click(findTestObject(""Object Repository/Login page/Page_On My Radar/div_Password_css-1e2ir0d""))",Chrome 86.0.4240.198,,,2020-11-18 18:26:39,2020-11-18 18:26:39,"0,278s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login page/Page_On My Radar/input_Password_password""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 86.0.4240.198,,,2020-11-18 18:26:39,2020-11-18 18:26:39,"0,338s",PASSED
"click(findTestObject(""Object Repository/Page_On My Radar/span_Signup_1""))",Chrome 86.0.4240.198,,,2020-11-18 18:26:39,2020-11-18 18:26:40,"0,287s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Login page/Page_On My Radar/button_Logout""), 0)",Chrome 86.0.4240.198,,,2020-11-18 18:26:40,2020-11-18 18:26:40,"0,458s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-18 18:26:40,2020-11-18 18:26:41,"0,590s",PASSED
